family,path_pattern,parser,grain,key,n_files,season_range,week_range,football_records,physical_rows,notes
A_pbp,data/RAW_pbp/pbp_{season}.parquet,pandas.read_parquet,one row per play,game_id + play_id,16,2010-2025,per-season (see report),757280,757280,week/season cross-checked per file
B_schedule,data/RAW_schedule/{season}/schedule_week_{ww}.csv,pandas.read_csv,one row per game,game_id (unique per season),316,2011-2025,1-22,4083,4083,teams==away@home checked
C_scores,data/RAW_scores/{season}/scores_week_{ww}.csv,pandas.read_csv,one completed game,game_id (unique per season),314,2011-2025,1-22,4051,4051,join to schedule verified
D_spread,data/RAW_market/spread/{season}/spread_week_{ww}.csv,pandas.read_csv,one row per game,game_id (unique),314,2011-2025,1-22,4051,4051,schedule join coverage measured
E_total,data/RAW_market/total/{season}/total_week_{ww}.csv,pandas.read_csv,one row per game,game_id (unique),314,2011-2025,1-22,4051,4051,schedule join coverage measured
F_moneyline,data/RAW_market/moneyline/{season}/moneyline_week_{ww}.csv,pandas.read_csv,one row per game,game_id (unique),314,2011-2025,1-22,4050,4050,schedule join coverage measured
G_injuries,data/RAW_injuries/injuries_{season}.parquet,pandas.read_parquet,injury-report observation,KEY NOT ESTABLISHED,14,2011-2024,per-season (see report),75372,75372,"candidate season+week+team+gsis_id dups investigated, not dropped"
H_ftn,data/RAW_ftn/ftn_{season}.parquet,pandas.read_parquet,one row per charted play,nflverse_game_id + nflverse_play_id,4,2022-2025,per-season (see report),185215,185215,join rate to PBP measured
I_fp_cov_def,data/RAW_fantasypoints/coverage/defense/coverage_defense_{season}_w{week}.csv,fp_parsers.parse_fp_table (row1 header + Season filter),one team per season/file-week,"season+week+normalized_team (unique, tested)",80,2022-2025,1-22,2124,3644,glossary rows counted separately
J_fp_cov_off,data/RAW_fantasypoints/coverage/offense/coverage_offense_{season}_w{week}.csv,fp_parsers.parse_fp_table (row1 header + Season filter),one team per season/file-week,"season+week+normalized_team (unique, tested)",80,2022-2025,1-22,2124,3644,glossary rows counted separately
K_snap_share,data/RAW_fantasypoints/snap_share*.csv,"fp_parsers.parse_fp_table (row1 header, wide W-cols)",player-season (wide weekly) -> reshape to player-team-week,KEY NOT ESTABLISHED (player id quality unverified),6,2021-2025,wide W1..Wn columns,3320,3470,plain read_csv over-counts by 150 vs football rows
L_target_share,data/RAW_fantasypoints/target_share*.csv,"fp_parsers.parse_fp_table (row1 header, wide W-cols)",player-season (wide weekly) -> reshape to player-team-week,KEY NOT ESTABLISHED (player id quality unverified),1,2025-2025,wide W1..Wn columns,542,567,plain read_csv over-counts by 25 vs football rows
M_route_share,data/RAW_fantasypoints/route_share*.csv,"fp_parsers.parse_fp_table (row1 header, wide W-cols)",player-season (wide weekly) -> reshape to player-team-week,KEY NOT ESTABLISHED (player id quality unverified),1,2025-2025,wide W1..Wn columns,542,567,plain read_csv over-counts by 25 vs football rows
N_fpts_scored,data/RAW_fantasypoints/fpts_scored*.csv,"fp_parsers.parse_fp_table (row1 header, wide W-cols)",player-season (wide weekly) -> reshape to player-team-week,KEY NOT ESTABLISHED (player id quality unverified),1,2025-2025,wide W1..Wn columns,623,649,plain read_csv over-counts by 26 vs football rows
O_fp_allowed,data/RAW_fantasypoints/fp_allowed_{pos}_{season}_w{week}.csv,fp_parsers.parse_fp_table (row1 header + Season filter),team-week-position,"season+week+normalized_team+position (unique, tested)",72,2025-2025,1-18,2304,2304,non-core for rebuild per contract O
